ticker,company,pop_growth,ev_chg,ev_sales,non_core_ev
CRWD,CrowdStrike,0.125222478,-0.22827082,33.54478676,0.043987402
FEYE,FireEye,0.033551182,0.052025783,3.542178941,0.337026895
PANW,Palo Alto Networks,0.109000826,0.019170621,5.887086203,0.181460946
SPLK,Splunk,0.215859715,0.039770551,7.928216322,0.169462791
RPD,Rapid7,0.078895949,-0.101442461,7.62983376,0.098584646
CLDR,Cloudera,0.049304415,0.109681883,2.552968215,0.279107028
OKTA,Okta,0.12183864,-0.167882199,21.0698406,0.039180203
FSLY,Fastly,0.01354377,-0.183138379,13.11509075,0.08283065
CHKP,Check Point,0.034521054,0.037175783,6.538431536,0.333881898
CYBR,CyberArk Software,0.082610089,-0.14076196,10.28629744,0.1212585
FSCT,Forescout,0.035888207,0.007508542,5.148736428,0.06557917
FTNT,Fortinet,0.103893356,-0.010463257,5.579445939,0.168251679
MIME,Mimecast,0.076339852,-0.08174737,5.802592009,0.078476482
MOBL,Mobileiron,0.057880288,0.082738621,3.601641042,0.148606745
PFPT,Proofpoint,0.056500515,0.001364898,8.151339572,0.02616213
QLYS,Qualys,0.047595663,-0.007251772,8.6772436,0.148765944
SAIL,SailPoint,0.073771329,-0.094911203,7.076335712,0.047186942
SCWX,Secureworks,0.028326885,-0.065923569,1.747679883,0.115140851
TENB,Tenable,0.063299336,0.027343511,5.861173978,0.152404709
VRNS,Varonis Systems,0.057860185,-0.120640492,7.295312321,0.073960976
ZIXI,Zix,0.042348708,0.033127463,3.193839952,0.019275786
TLND,Talend,0.047598465,-0.013263613,4.691094482,0.027869309
PTC,PTC,0.01733511,0.004833168,6.280612191,0.043652452
PS,Pluralsight,0.089705101,0.141548591,7.089606334,0.303934247
CARB,Carbonite,-0.09181731,0.091813543,2.136554405,0.08654009
FIVN,Five9,0.038919746,-0.109956787,10.3650885,0.085237278
ANSS,Ansys,0.162409737,-0.028302941,11.67048687,0.035669209
LOGM,LogMeIn,0.094668305,0.013815201,2.848601282,0.043272651
CDAY,Ceridian,-0.036327933,-0.056848969,9.933998235,0.02876546
PAYC,Paycom,-0.15319366,-0.164520412,18.13562765,0.006449491
LPSN,LivePerson,0.068627451,-0.060954926,8.358022239,0.088955067
SWI,SolarWinds,0.065985595,0.068087353,10.13630168,0.02157687
TDC,Teradata,0.021367521,0.05282629,1.902936715,0.183746135
CSOD,Cornerstone,0.012439604,0.027487712,5.796169376,0.126165325
MDB,MongoDB,0.111648096,-0.122623362,18.69400034,0.051489249
PLAN,Anaplan,0.114862192,-0.094844833,17.93251061,0.053131833
WORK,Slack,0.075299842,-0.137027413,23.10424887,0.051711681
COUP,Coupa,0.169588415,-0.120855246,22.07885929,0.084564757
VEEV,Veeva,0.0904916,-0.088618923,18.91704805,0.064629144
ESTC,Elastic,0.113041105,0.03121931,18.67455307,0.048497577
TWLO,Twilio,0.179721111,-0.16007554,12.36571283,0.116212138
SNCR,Synchronoss,-0.116440611,-0.108879928,1.411544647,0.15926456
DBX,Dropbox,0.04123444,0.09329518,4.6452436,0.142563044
ALTR,Altair,-0.16491604,0.011916264,5.554908297,0.107411372
APPN,Appian,0.123063496,-0.134134897,11.34561389,0.02312549
